[상식]익일은 오늘을 말하는 것이다,O,X,2,답은 X로 익일은 다음날을 말하는 것이다.,
[상식]우리나라에 있는 창덕궁은 유네스코가 지정한 세계문화유산이다,O,X,1,답은 O로 '창덕궁'은 1997년 유네스코 세계유산으로 등록되었다.,
[상식]우리나라 최초 우주비행사는 지소연이다.,O,X,2,답은 X로 최초 우주비행사는 이소연이며 2008년 4월 국제 우주 정거장에서 11일간 체류하였다.
[상식]영국은 섬 나라이다,O,X,1,답은 O로 영국은 섬나라에 속한다.
[상식]지구의 허파라고 불리는 강은 아마존 강이다,O,X,1,답은 O로 이유는 아마존강 유역의 식물들이 광합성을 하여 이산화탄소를 산소로 바꾸어 내는 능력이 전지구 식물의 산소생산량의 약 45% 이상을 차지하므로 지구의 허파라고 합니다.,
[상식]전기에서 전압의 단위는 V이며 볼트라고 읽는다,O,X,1,답은 O로 전압은 V 전류은 I 저항은 R로 표시한다,
[상식]태극기의 건·곤·감·리는 하늘·땅·물·불을 각각 상징한다,O,X,1,답은 O로 건괘는 우주 만물 중에서 하늘을 곤괘는 땅을 감괘는 물을 이괘는 불을 각각 상징한다.,
[상식]태양계는 수·금·지·화·목·토·천·해·명으로 이루어져있다,O,X,2,답은 X로 명인 명왕성은 빠졌다. 이유는 태양계가 될 수 있는 조건을 만족 하지 못하였기 때문이다,
[상식]화력발전에서 가장 많이 사용 되는 원료는 석유이다,O,X,2,답은 X로 화력발전에서 가장 많이 사용 되는 원료는 '석탄'이다,
[역사]IMF는 1995년에 발생했다.,O,X,2,답은 X로 IMF는 1997년에 발생 하였다.
[역사]8.15 광복은 1945년도 이다.,O,X,1,답은 O로 1945년 8월 15일 히로히토 일왕이 일본방송협회 라디오로 옥음방송을 하여 태평양 전쟁에서 항복을 선언하며 식민지 조선이 일본 제국 조선총독부의 통치에서 벗어난 사건이다,
[역사]노비는 상속과 증여 매매의 대상이 되었다.,O,X,1,답은 O로 천인이란 곧 노비를 말하는 것으로 국가나 타인에게 소유권이 있으며 매매나 상속·증여의 대상이 되었다.,
[역사]대동법이 시행되자 상품 화폐 경제가 발달하였다,O,X,1,답은 O로 대동법은 조선 중기인 광해군-숙종 시기에 지방의 특산물로 바치던 공물을 쌀로 통일하여 바치게 한 세금 제도이다,
[역사]대한믹국의 건국이념은 '홍익인간'이다,O,X,1,답은 O로 홍익인간은 인간을 널리 이롭게 한다는 것으로 특정한 어느 민족만을 염두에 둔 편협한 개념이 아니고 인류전체의 공동번영에 이바지 한다는 의미로 인류공영의 이상을 실현하는 것이 최종목표이다.,
[역사]대동여지도를 작성한 사람은 김정호이다.,O,X,1,답은 O로 김정호는 조선시대 가장 많은 지도를 제작하였고 가장 많은 지리지를 편찬한 지리학자이다. 일제강점기부터 '김정호'를 가장 유명하게 만든 것은 1861년에 제작한 목판본의 『대동여지도』 22첩이다,
[역사]미국 초대 대통령은 링컨이다.,O,X,2,답은 X로 미국의 초대 대통령은 조지 워싱턴이며 1775년부터 1783년까지 벌어진 미국 독립 전쟁에서는 대륙군 총사령관으로 활동하였다.,
[역사]빗살무늬토기는 신석기 시대의 대표적인 토기이다,O,X,1,답은 O로 빗살무늬토기 그릇 표면을 빗살같이 길게 이어진 무늬새기개로 누르거나 그어서 점·금·동그라미 등의 기하학무늬를 나타낸 신석기시대의 대표적인 토기이다,
[역사]선사시대의 순서는 구석기→청동기→신석기→철기 시대 순이다.,O,X,2,답은 X로 구석기 → 신석기 →청동기 → 철기 시대의 순이다,
[역사]수군과 의병의 활약으로 정묘호란을 극복할 수 있었다,O,X,2,답은 X로 수군과 의병의 활약으로 극복 한 것은 임진왜란이다,
[역사]세종은 학문 연구 기관인 집현전을 설치하였다,O,X,1,답은 O로 집현전은 조선 세종 2년에 고제를 연구하고 경전과 역사를 강론하고 군주의 자문에 대비하기 위해 설치된 기관으로서 세조 2년까지 존속되었다.,
[역사]정조는 금난전권을 설치하여 시전 상인의 특권을 보호하였다,O,X,2,답은 X로 설치가아니라 폐지이다.,
[역사]직지심체요절은 몽골의 침입을 물리치기를 기원하고자 만들었다.,O,X,2,답은X로 직지심체요절이 아닌 팔만대장경이다,
[역사]'하여가'는 태종 이방원이 포은 정몽주를 회유하기 위해서 지었다는 시조이다. ,O,X,2,답은 X로 정몽주가 죽어서도 고려 임금을 섬기는 마음을 바꾸지 않게다는 시는 '단심가'이다. '하여가'는 태종 이방원이 포은 정몽주를 회유하기 위해서 지었다는 시조이다
